Id,Reputation
"21837","20066"
"27561","7193"
"27791","116"
"32223","4338"
"17408","6476"
"27537","2198"
"31797","21234"
"31778","21234"
"31952","21234"
"32067","21234"
"19767","6690"
"16014","6690"
"15946","6690"
"15956","6690"
"17953","11509"
"19973","17835"
"24558","17835"
"32804","7817"
"25701","110639"
"74086","2685"
"32314","3125"
"25130","19411"
"16375","5351"
"15967","5351"
"22803","35543"
"22497","35543"
"16922","35543"
"27245","2119"
"26071","51825"
"26077","51825"
"30233","51825"
"16168","51825"
"16478","51825"
"16385","4226"
"19384","1798"
"24659","1798"
"15741","11947"
"15653","2519"
"19186","972"
"26612","20098"
"26645","20098"
"32716","36428"
"31696","23327"
"17426","23327"
"23121","394"
"18547","20211"
"27229","20211"
"25543","20211"
"25607","20211"
"30416","20211"
"15961","527"
"18579","7892"
"28684","7892"
"32811","7892"
"25191","3153"
"23577","3153"
"43112","2741"
"23048","4961"
"32808","32808"
"25187","13407"
"22163","1261"
"17398","10065"
"26589","10065"
"26634","10065"
"32077","4022"
"31392","14338"
"19399","78521"
"19191","22360"
"15739","22360"
"29535","22360"
"29573","22360"
"29203","22360"
"25650","5733"
"22219","100890"
"24335","100890"
"15870","91751"
"29826","91751"
"15969","573"
"15869","11621"
"24231","11621"
"16048","11621"
"25819","11621"
"16601","9821"
"19967","18813"
"15981","18813"
"15901","18813"
"32712","1569"
"16562","33537"
"30590","5571"
"21263","967"
"19522","24359"
"17675","24359"
"24997","24359"
"22133","24359"
"16857","24359"
"16019","24359"
"17957","7875"
"17004","475"
"31866","18545"
"17949","48993"
"47151","2131"
"19939","9285"
"16512","9285"
"15785","5296"
"19439","15053"
"151218","15053"
"17649","43743"
"22142","43743"
"16433","843"
"711398","4406"
"27000","357712"
"27536","357712"
"24227","357712"
"31758","357712"
"31821","357712"
"32008","6269"
"32015","6269"
"47220","6269"
"30996","8754"
"24996","25880"
"19356","803"
"20154","7042"
"32340","7042"
"26579","27236"
"17344","34287"
"18981","5909"
"19077","5909"
"17974","31644"
"31960","463"
"32551","20239"
"20151","13934"
"22830","6421"
"31432","1963"
"31721","3915"
"40967","6053"
"321782","13586"
"26078","13586"
"24611","39180"
"21937","32461"
"22132","32461"
"27582","32461"
"27587","32461"
"21964","38032"
"27249","781"
"27268","781"
"26920","649"
"32091","7395"
"31395","45712"
"32658","45712"
"28385","45712"
"169064","45712"
"29739","4228"
"22164","3586"
"30477","15"
"23703","1391"
"32484","10409"
"24955","6214"
"29434","97477"
"27422","97477"
"32817","97477"
"3816214","3092"
"25311","15049"
"31914","852"
"24643","1038"
"26642","8791"
"154774","112252"
"912112","112252"
"24694","311"
"26680","4399"
"30896","4399"
"25126","4611"
"32907","696"
"25666","11870"
"27553","11870"
"27611","11870"
"29138","3450"
"25920","8887"
"27523","8887"
"32047","8290"
"520504","63997"
"29710","1186"
"27586","1025"
"27609","13589"
"29828","8271"
"30424","3609"
"27649","2162"
"27615","2629"
"31961","2629"
"31946","2629"
"29403","4032"
"27706","364"
"27692","388"
"27786","615"
"30031","1289"
"28154","46"
"32793","277073"
"29524","2607"
"28251","1153"
"28494","1852"
"32916","1852"
"32791","6052"
"30402","6052"
"28552","5478"
"28611","5532"
"28690","5374"
"30334","4414"
"32073","4692"
"30413","4780"
"30408","1037"
"30720","6396"
"31467","126363"
"31553","405"
"503201","16566"
"32342","953"
"489089","29390"
"32666","8778"
"32707","8778"
"38518","201214"
"160228","201214"
"34397","10858"
"34484","10858"
"36438","2434"
"36997","2434"
"37028","2434"
"36955","3629"
"6690151","5083"
"41023","30372"
"45872","382"
"46674","117423"
"46780","117423"
"46902","117423"
"55616","6694"
"55736","6694"
"46957","2603"
"47493","1021"
"49701","308"
"56093","715"
"48724","18292"
"50107","42777"
"66745","111"
"132129","2712"
"1005469","13227"
"275342","724797"
"275353","724797"
"61288","11442"
"154080","67884"
"64618","1618"
"247216","243956"
"63177","775"
"535022","11369"
"83187","8714"
"154639","12113"
"74327","5653"
"63970","5639"
"64065","5639"
"64232","5639"
"170414","3332"
"149971","3393"
"159845","74933"
"86314","3627"
"86142","3627"
"83764","1169"
"255594","42532"
"814349","42532"
"75209","785"
"76548","16815"
"110472","1607"
"137600","12763"
"1604520","45767"
"81258","26892"
"5883806","35292"
"23417","1889"
"73591","23749"
"2245725","13646"
"75519","1976"
"149818","13479"
"175511","48798"
"85703","31"
"74597","823"
"87578","47052"
"76317","139623"
"78690","8862"
"15667","773"
"19061110","33029"
"80099","2227"
"1295474","4276"
"575078","39137"
"520094","16657"
"82236","32524"
"139379","3962"
"83113","2340"
"85919","8245"
"92998","1613"
"766774","1678"
"556664","394"
"146121","99444"
"101851","197"
"528106","11"
"96921","3690"
"101659","7969"
"194501","2456"
"178394","2456"
"538379","17572"
"196487","12301"
"187030","1465"
"221413","6160"
"3089101","129303"
"3181454","129303"
"142676","129303"
"341823","645"
"129378","56150"
"122219","28547"
"138340","28547"
"138532","28547"
"27502240","7863"
"229899","11355"
"306721","18757"
"242419","1046"
"147160","17479"
"140145","17479"
"215760","1117"
"289190","2630"
"145605","5208"
"412989","5208"
"284614","99"
"158781","164"
"182346","2709"
"182437","2709"
"190318","5478"
"193237","1032"
"248179","176"
"238827","16791"
"238837","16791"
"242507","4681"
"41225329","27419"
"596866","375520"
"1091088","13555"
"359765","13555"
"275661","6248"
"279385","21499"
"1318317","252238"
"1214727","376"
"377671","7878"
"336346","316"
"555932","1888"
"488978","2147"
"863528","96200"
"433976","20827"
"397633","1149"
"427596","345"
"488685","1271"
"433052","17391"
"430893","5200"
"438536","53462"
"433482","53462"
"1739906","53462"
"455074","2641"
"2792827","11450"
"556756","11442"
"556772","3308"
"678954","399382"
"983366","399382"
"854163","399382"
"645162","23448"
"1025306","19080"
"690450","70625"
"871848","70625"
"3453006","70625"
"2330852","522"
"581229","41315"
"1025199","1488"
"574522","2614"
"581117","815"
"2432259","117092"
"575759","4195"
"1660340","1892"
"1027242","431"
"690660","35976"
"610268","498"
"34649002","9489"
"922409","3426"
"36422906","921"
"808782","1145"
"1027744","8316"
"2102528","7701"
"2373697","607"
"4377373","9937"
"937635","2344"
"915030","868"
"1276933","2905"
"2396243","8545"
"945115","3608"
"10906902","13776"
"22897063","13776"
"1003806","11"
"2404783","1437"
"1903106","3634"
"1655210","2534"
"2371869","324"
"36190454","2573"
"1232919","1444"
"1590630","7696"
"23024375","5194"
"3130075","309"
"43960765","22659"
"1717240","1597"
"1305163","3164"
"2548590","5910"
"2792809","5910"
"1399740","395"
"2690861","2096"
"2294266","27670"
"18975867","20894"
"1949877","3836"
"21961672","233166"
"12954099","2996"
"2919307","345"
"18841163","5640"
"1807455","589"
"11747267","16545"
"2102436","81"
"3473687","134"
"1881391","1"
"1885890","31"
"2629387","496"
"1979389","30906"
"1963840","171"
"1980815","11"
"2034744","49842"
"2084262","49"
"39519292","3378"
"2255133","427"
"45135063","708"
"5175073","7758"
"5047679","621"
"2372429","575"
"5058626","10229"
"8638140","56171"
"2447375","1"
"841587","1310"
"5192319","1944"
"27396540","38934"
"3522444","2108"
"10314850","20344"
"24264560","1811"
"4110138","2630"
"10305800","8092"
"2867327","11"
"3867975","5014"
"14729899","2481"
"3401803","4316"
"2337482","392"
"4194330","621"
"4484958","27040"
"8266632","2312"
"3548418","11"
"3558349","21"
"492663","740"
"5299265","2424"
"16366066","773"
"2173874","1572"
"15903","8083"
"3705685","153"
"20297975","135"
"5299126","1095"
"3811404","760"
"3912695","221"
"5229795","161"
"4043686","11"
"4932284","10965"
"17062476","317"
"8771380","11364"
"5767828","24171"
"6441003","3673"
"9826988","1958"
"4402466","11"
"34842991","21066"
"5781802","21057"
"4720882","30"
"4728735","29"
"5645413","15218"
"4788050","326"
"5600179","1995"
"10288168","554"
"8523239","10923"
"10254476","1992"
"5049177","11"
"10298568","41"
"11989443","364"
"46559783","136"
"9797533","4275"
"5388006","543"
"5403613","1122"
"17498325","2637"
"5677149","11"
"23582843","420"
"7270304","427"
"6096537","12145"
"12210837","31"
"7826363","41"
"18110549","1900"
"32011236","1924"
"10275130","81"
"6662165","89"
"6674458","71"
"13366011","55"
"13612902","1662"
"8051786","1390"
"8769904","1331"
"8654454","1599"
"27215934","22953"
"9884607","1604"
"16518985","14007"
"11367849","61"
"10314688","5320"
"23293398","880"
"14827378","34986"
"9120988","116"
"18005722","3220"
"9124933","350"
"13080134","114"
"9005568","21"
"9483688","77"
"9326197","29"
"31557299","2685"
"29621176","4808"
"24659605","2178"
"10137205","816"
"9771364","1"
"10274630","693"
"10248992","398"
"10275157","452"
"10212523","379"
"38105","6137"
"38111186","2895"
"12107210","4061"
"21548669","2732"
"20706792","156"
"383779","4372"
"19896333","1550"
"11265300","11"
"15602506","1941"
"27353549","368"
"22988977","2759"
"23066361","192"
"12322903","636"
"14297352","978"
"13782534","71"
"12151715","11"
"12216958","1"
"20806279","436"
"20591367","152"
"19304456","1474"
"18168199","945"
"35758362","321"
"32712019","8056"
"28667333","2305"
"36533445","805"
"13944065","555"
"15694770","722"
"152412","724"
"152460","724"
"508379","3156"
"20697433","1550"
"150636","3371"
"14754238","1"
"3400927","321"
"20514020","136"
"15599729","4758"
"17478845","6434"
"1024869","12182"
"19563996","497"
"16666753","21"
"31368252","162"
"21803904","88"
"32667309","1738"
"37693420","111"
"39965540","247"
"1042236","1630"
"19051117","1"
"35162134","4078"
"32049679","1534"
"22711415","160"
"20411373","41"
"21598741","56"
"22934370","60"
"27032572","4146"
"35310569","2072"
"23439719","81"
"25479992","11"
"25397364","171"
"40281599","3583"
"44850154","122"
"34712075","23166"
"25521015","3"
"26782022","191"
"38127012","1164"
"44167904","36"
"37281299","2615"
"38664293","53"
"34261965","1"
"43873791","11"
"34927561","3"
"36679773","106"
"42824600","11"
"50544","42325"
"35045","13264"
"41694","42545"
"19904","14799"
"49863","10341"
"51394","19020"
"31589","19020"
"30172","25145"
"40124","30700"
"42108","30700"
"42163","30700"
"49235","30700"
"43163","30700"
"51864","27208"
"53571","2073"
"40669","2073"
"49256","26052"
"47615","26052"
"47458","9676"
"27441","9676"
"20870","9676"
"25844","9676"
"21851","9676"
"16697","10535"
"18595","3343"
"45574","10347"
"37117","78731"
"31611","19774"
"17389","3873"
"25983","18193"
"44251","18193"
"46776","28374"
"32305","254516"
"31471","5205"
"29529","19226"
"25454","3750"
"19903","21539"
"19840","21539"
"45630","21539"
"1380478","21539"
"46121","14615"
"44235","14615"
"46695","14615"
"28748","14615"
"34444","14615"
"42392","14615"
"34454","87968"
"32509","87968"
"30697","87968"
"16573","87968"
"17659","87968"
"16953","87968"
"34746","87968"
