Id,UpVotes,DownVotes
"47106637","1","0"
"47106137","4","0"
"47105805","5","0"
"47105732","1","0"
"47105524","2","0"
"47105523","3","0"
"47105485","1","0"
"47104939","1","0"
"47104925","1","0"
"47104834","1","0"
"47104825","3","0"
"47104656","0","1"
"47103749","1","0"
"47103731","1","0"
"47103638","1","0"
"47103529","1","0"
"47103084","1","0"
"47102717","2","0"
"47102477","1","0"
"47102474","2","0"
"47099841","1","1"
"47099304","1","0"
"47099169","2","0"
"47097207","3","0"
"47097185","1","0"
"47097147","1","0"
"47096848","2","0"
"47096661","2","0"
"47096641","2","0"
"47096095","1","0"
"47095507","1","0"
"47095346","1","0"
"47094743","1","0"
"47093825","0","1"
"47092826","1","0"
"47092038","1","0"
"47091771","1","0"
"47091427","1","1"
"47091191","1","0"
"47091037","1","0"
"47090628","1","0"
"47088874","1","0"
"47088684","1","0"
"47088166","3","0"
"47087897","2","0"
"47087674","1","0"
"47087670","1","0"
"47087400","2","0"
"47087304","1","0"
"47087298","1","0"
"47087211","1","0"
"47086600","3","0"
"47086592","2","0"
"47085668","1","0"
"47085659","1","0"
"47085619","2","0"
"47085554","0","2"
"47085513","0","1"
"47083974","1","0"
"47083159","7","0"
"47082245","1","0"
"47081858","6","0"
"47081780","4","0"
"47081650","1","0"
"47080880","1","0"
"47080807","3","0"
"47080599","2","1"
"47080514","5","1"
"47080024","4","0"
"47079839","1","0"
"47079796","1","0"
"47079003","1","0"
"47078987","0","1"
"47078538","2","0"
"47078037","1","0"
"47077966","1","0"
"47076526","3","0"
"47075977","1","0"
"47075911","0","1"
"47075888","1","0"
"47075136","1","0"
"47075015","2","0"
"47074680","1","0"
"47074662","1","0"
"47071708","0","1"
"47071654","1","0"
"47070590","2","0"
"47070564","1","0"
"47070077","1","0"
"47069926","0","1"
"47069362","2","0"
"47069317","2","0"
"47069038","0","1"
"47068220","1","0"
"47066576","3","0"
"47066531","1","0"
"47066455","1","0"
"47065687","0","1"
"47065588","1","0"
"47065418","2","0"
"47065384","2","0"
"47063571","1","0"
"47062795","1","0"
"47062478","3","0"
"47062299","3","0"
"47062175","3","0"
"47062173","5","0"
"47061807","1","1"
"47061418","2","0"
"47060981","2","0"
"47060870","1","1"
"47060577","1","0"
"47060003","4","0"
"47058810","2","0"
"47058505","1","0"
"47057778","2","0"
"47057276","2","0"
"47056144","2","0"
"47055204","5","0"
"47054603","1","0"
"47054471","1","0"
"47054393","2","0"
"47054126","1","0"
"47054113","4","0"
"47053954","2","0"
"47053938","1","0"
"47052852","1","0"
"47052618","1","0"
"47050954","1","0"
"47048880","1","2"
"47048727","3","0"
"47047008","1","0"
"47046648","1","0"
"47045918","1","0"
"47045666","1","0"
"47045276","1","0"
"47045166","2","0"
"47044929","1","0"
"47044881","1","0"
"47044871","1","0"
"47044557","2","0"
"47044473","3","0"
"47044243","2","0"
"47044217","2","0"
"47044162","4","0"
"47044160","3","0"
"47044071","1","0"
"47043425","1","0"
"47042954","2","0"
"47042767","1","0"
"47042586","2","0"
"47042530","2","0"
"47042520","2","0"
"47042410","2","0"
"47042064","2","0"
"47041577","2","0"
"47041421","2","0"
"47041160","1","0"
"47040397","3","0"
"47039391","1","0"
"47038965","1","0"
"47038908","6","0"
"47038238","1","0"
"47038129","1","0"
"47038127","1","0"
"47037768","2","0"
"47037418","2","0"
"47035553","2","0"
"47034495","3","0"
"47034388","1","0"
"47034360","4","0"
"47034182","1","0"
"47033688","1","0"
"47033615","1","0"
"47033562","2","0"
"47033460","4","0"
"47033044","2","0"
"47032859","1","0"
"47031540","1","1"
"47030841","1","0"
"47030824","2","0"
"47030017","1","0"
"47029922","2","0"
"47027997","1","0"
"47027865","1","0"
"47027780","1","0"
"47027135","1","0"
"47027099","0","1"
"47027047","1","0"
"47026899","3","0"
"47026024","2","0"
"47025696","2","0"
"47025530","1","0"
"47022502","6","0"
"47022225","2","0"
"47021970","4","0"
"47021025","1","0"
"47020777","1","0"
"47019185","1","0"
"47019058","1","0"
"47017737","3","0"
"47017680","1","0"
"47017122","0","1"
