Id,UpVotes,DownVotes
"47184596","3","0"
"47184568","4","0"
"47184552","3","0"
"47184550","4","0"
"47184531","3","0"
"47184459","1","0"
"47183998","1","0"
"47183954","1","0"
"47183157","3","0"
"47182855","0","3"
"47182816","3","0"
"47182762","2","0"
"47182363","2","0"
"47182130","1","0"
"47181734","2","0"
"47181715","2","0"
"47181509","1","0"
"47181506","3","0"
"47181089","1","0"
"47180837","0","3"
"47180735","0","1"
"47180683","3","0"
"47179782","3","3"
"47179732","4","0"
"47179730","1","0"
"47178986","1","0"
"47178354","3","0"
"47178226","1","0"
"47177854","2","0"
"47177553","4","0"
"47177438","3","0"
"47177319","1","0"
"47176681","0","1"
"47176447","1","0"
"47176368","1","0"
"47175865","1","0"
"47175759","2","0"
"47175731","4","0"
"47175626","5","0"
"47175563","4","0"
"47175483","2","0"
"47175471","7","0"
"47174871","1","0"
"47174656","2","0"
"47173750","6","0"
"47173420","7","0"
"47173416","2","0"
"47173408","3","0"
"47173315","1","0"
"47173209","2","0"
"47172820","2","0"
"47172568","2","0"
"47172439","1","0"
"47171704","2","0"
"47171550","3","0"
"47171538","3","0"
"47171346","2","0"
"47171156","2","0"
"47170671","1","0"
"47170364","1","0"
"47170327","2","0"
"47170286","3","0"
"47170282","1","0"
"47170198","1","0"
"47170097","1","0"
"47170047","4","0"
"47169776","0","1"
"47169684","1","0"
"47169537","1","0"
"47169382","2","0"
"47169070","1","0"
"47168959","3","0"
"47168695","1","0"
"47168650","1","0"
"47168279","2","0"
"47168273","3","3"
"47168086","1","0"
"47167913","1","0"
"47167875","3","0"
"47167536","4","0"
"47167535","3","0"
"47167230","1","0"
"47167055","3","0"
"47166949","2","0"
"47165982","4","0"
"47165898","2","0"
"47165701","3","0"
"47165643","1","0"
"47165592","3","0"
"47165347","7","0"
"47165272","6","0"
"47164932","1","0"
"47164607","1","0"
"47163870","1","0"
"47163565","5","0"
"47163326","4","0"
"47162336","1","0"
"47162069","0","2"
"47162019","7","0"
"47161826","2","0"
"47161822","2","0"
"47161510","2","0"
"47161318","1","0"
"47160728","2","0"
"47160719","3","0"
"47160483","7","0"
"47160478","1","0"
"47160408","1","1"
"47159968","1","0"
"47159939","1","0"
"47159889","1","0"
"47159519","2","0"
"47159509","2","0"
"47159312","2","0"
"47159100","2","0"
"47158536","0","2"
"47158348","2","0"
"47158262","1","0"
"47157851","15","1"
"47157589","2","0"
"47157463","2","0"
"47157222","1","0"
"47157018","1","0"
"47156928","8","0"
"47156175","2","0"
"47155835","9","0"
"47155066","6","0"
"47154786","6","0"
"47154497","45","1"
"47154485","1","1"
"47153861","6","0"
"47153169","1","0"
"47152999","3","0"
"47152876","1","0"
"47152801","2","0"
"47152224","1","0"
"47152079","3","1"
"47151869","1","0"
"47151831","5","0"
"47151491","2","0"
"47150901","1","0"
"47150874","2","0"
"47150804","4","0"
"47150779","1","1"
"47150669","2","0"
"47150663","2","0"
"47150608","8","0"
"47150539","1","0"
"47150508","1","0"
"47150500","4","0"
"47150275","1","0"
"47150133","2","0"
"47149978","1","0"
"47149582","2","0"
"47149200","1","0"
"47148897","1","0"
"47148829","2","0"
"47148808","1","0"
"47148787","2","0"
"47148768","1","0"
"47148537","2","0"
"47148207","5","0"
"47148152","3","0"
"47147930","0","1"
"47147574","1","0"
"47147540","3","0"
"47147415","2","0"
"47146787","2","0"
"47146532","1","0"
"47146274","1","0"
"47145874","0","1"
"47145653","0","4"
"47145137","7","0"
"47145102","2","1"
"47144561","0","1"
"47144342","1","0"
"47144020","2","0"
"47144009","5","0"
"47143960","5","0"
"47143959","4","0"
"47143958","2","0"
"47143815","2","0"
"47143720","1","0"
"47143685","3","0"
"47143408","2","0"
"47143252","1","2"
"47143026","5","1"
"47143020","1","1"
"47142651","1","0"
"47142088","2","0"
"47142060","2","0"
"47141480","1","0"
"47140552","1","0"
"47140327","3","0"
"47140255","3","0"
"47139877","1","0"
"47139811","1","0"
"47139771","2","0"
"47139695","1","0"
"47139686","1","0"
"47139427","1","0"
"47139134","0","1"
"47138716","2","0"
"47138432","2","0"
"47137979","1","0"
"47137867","2","0"
"47137097","1","0"
"47137032","2","0"
"47136644","4","0"
"47135541","2","0"
"47134882","1","0"
"47134425","1","0"
"47134104","3","0"
"47133680","2","0"
"47133580","1","0"
"47133566","3","0"
"47133534","1","0"
"47133533","1","0"
"47133474","1","0"
"47133068","2","0"
"47132969","1","0"
"47132631","1","0"
"47131761","1","0"
"47131721","2","0"
"47131324","1","0"
"47131182","1","0"
"47131126","1","0"
"47130917","1","0"
"47130798","1","0"
"47130651","1","0"
