Id,UpVotes,DownVotes
"47204365","1","0"
"47204346","1","0"
"47204130","3","0"
"47204114","1","0"
"47204071","1","0"
"47203930","0","2"
"47203716","1","0"
"47203669","5","0"
"47203518","2","0"
"47203435","2","0"
"47202588","1","0"
"47202495","3","0"
"47202480","1","0"
"47202432","2","0"
"47202361","3","0"
"47202256","2","0"
"47202248","1","0"
"47202220","1","0"
"47201947","7","0"
"47201938","1","0"
"47201755","1","0"
"47201754","1","0"
"47201660","11","0"
"47201629","1","0"
"47201604","7","0"
"47201584","7","0"
"47201454","13","0"
"47201432","3","0"
"47201273","1","0"
"47201197","2","0"
"47201148","3","0"
"47200991","3","0"
"47200958","1","0"
"47200784","1","0"
"47200482","4","0"
"47200480","1","1"
"47200424","2","0"
"47200415","4","0"
"47200390","1","0"
"47200304","1","1"
"47200201","1","0"
"47200144","4","0"
"47199878","1","0"
"47199874","1","0"
"47199757","2","0"
"47199563","2","0"
"47199450","0","1"
"47199449","1","0"
"47199237","1","0"
"47199168","0","3"
"47199026","2","0"
"47198779","1","0"
"47198516","2","0"
"47198499","3","0"
"47198437","3","0"
"47198068","2","0"
"47197908","1","0"
"47197888","5","0"
"47197584","1","0"
"47196819","1","0"
"47196661","1","0"
"47196652","2","0"
"47196046","3","0"
"47195774","1","0"
"47195718","0","1"
"47195545","1","0"
"47195509","3","0"
"47195406","0","1"
"47195327","1","0"
"47195267","4","0"
"47195072","2","0"
"47194804","2","0"
"47194764","0","1"
"47194710","0","1"
"47194678","1","1"
"47194650","1","1"
"47194598","3","0"
"47194516","1","0"
"47194353","0","1"
"47193963","0","3"
"47193938","3","0"
"47193358","1","0"
"47193353","1","0"
"47193166","3","0"
"47193153","1","0"
"47192845","1","0"
"47192772","4","0"
"47192640","0","1"
"47192637","2","0"
"47192562","0","5"
"47192533","1","0"
"47192190","2","0"
"47192187","1","0"
"47192145","3","0"
"47192141","1","0"
"47192128","1","0"
"47192046","2","0"
"47191891","2","0"
"47191852","1","0"
"47191839","2","0"
"47191827","2","0"
"47191759","16","0"
"47191589","1","0"
"47191547","1","0"
"47191496","4","0"
"47191394","1","0"
"47191309","2","0"
"47191219","1","0"
"47191215","4","0"
"47191171","1","0"
"47191127","0","2"
"47191104","3","0"
"47191063","1","0"
"47191000","1","0"
"47190949","1","0"
"47190787","1","0"
"47190699","2","0"
"47190696","2","0"
"47190665","0","2"
"47190628","1","0"
"47190387","4","0"
"47190167","5","0"
"47189913","3","0"
"47189854","2","0"
"47189516","1","0"
"47189236","1","0"
"47189046","4","0"
"47188910","2","0"
"47188812","1","1"
"47188668","1","0"
"47188423","1","0"
"47188161","2","1"
"47188017","2","0"
"47187880","2","1"
"47187865","2","0"
"47187818","3","0"
"47187479","2","0"
"47187232","1","0"
"47187198","2","0"
"47187006","4","0"
"47186935","2","0"
"47186892","3","1"
"47186851","1","0"
"47186824","0","1"
"47186781","4","0"
"47186765","3","0"
"47186727","0","1"
"47186719","3","0"
"47186714","2","1"
"47186433","8","0"
"47186321","2","0"
"47185346","2","0"
"47185250","2","0"
"47185223","3","0"
"47184873","2","0"
"47184839","6","0"
"47184812","1","0"
"47184631","1","0"
"47184606","1","0"
"47184580","1","0"
"47184459","1","0"
"47184435","1","1"
"47184434","1","0"
"47184326","1","0"
"47184189","1","0"
"47184134","5","0"
"47184130","1","0"
"47184081","4","0"
"47184007","3","0"
"47183712","2","0"
"47183373","1","0"
"47183228","1","0"
"47183046","1","0"
"47182943","1","0"
"47182509","1","0"
"47182463","2","0"
"47182358","1","1"
"47182254","2","0"
"47182229","1","0"
"47182141","1","0"
"47181932","1","0"
"47181864","4","0"
"47181571","1","0"
"47181262","1","0"
"47181255","2","0"
"47181173","1","0"
"47180703","2","0"
"47180642","1","0"
"47180472","2","1"
"47180348","2","0"
"47179952","3","0"
"47179761","0","1"
"47179680","1","0"
"47179615","3","0"
"47179509","1","0"
"47179343","1","0"
"47179257","1","0"
"47179194","0","1"
"47179152","1","0"
"47178599","0","2"
"47178578","0","1"
"47178450","1","1"
"47178441","5","0"
"47178271","1","0"
"47178163","3","0"
"47178085","3","0"
"47178073","2","0"
"47177993","2","0"
"47177947","2","0"
"47177724","1","0"
"47177666","2","0"
"47177478","3","0"
"47177471","2","0"
"47177409","3","0"
"47177225","5","0"
"47177168","5","0"
"47176746","3","0"
"47176682","2","0"
"47176216","3","0"
"47175968","1","1"
"47175736","1","0"
"47175728","1","0"
"47175618","1","0"
"47175598","1","0"
"47175305","1","0"
"47175001","10","0"
"47174955","13","0"
"47174730","1","0"
"47174616","1","0"
"47174401","1","0"
"47174129","1","0"
"47173967","1","0"
"47173662","1","1"
"47173642","1","0"
"47173622","1","1"
"47173353","1","0"
"47173032","4","0"
"47172959","1","0"
"47172661","4","0"
"47172601","1","0"
"47172581","2","0"
"47172438","0","1"
"47172176","1","0"
"47171893","2","0"
"47171772","1","0"
"47171692","2","0"
"47171290","2","1"
"47170933","3","0"
"47170836","1","0"
"47170794","3","1"
"47170779","1","1"
"47170608","1","1"
"47170587","4","0"
"47170543","0","1"
"47170503","1","1"
"47170424","2","3"
"47170417","1","0"
"47170395","1","1"
"47170134","0","1"
"47169969","1","0"
"47169921","1","0"
"47169844","3","0"
"47169723","1","0"
"47169457","1","0"
"47169430","1","1"
"47169346","3","1"
"47169265","1","0"
