Id,MinResponseTime
"47230956","0"
"47230927","5"
"47230855","36"
"47230824","16"
"47230822","2"
"47230681","51"
"47230675","1233"
"47230652","17"
"47230640","28"
"47230564","17"
"47230550","12"
"47230516","18"
"47230495","29"
"47230492","245"
"47230447","11"
"47230444","90"
"47230403","40"
"47230394","757"
"47230320","13"
"47230258","57"
"47230195","3"
"47230093","23"
"47230087","28"
"47230077","305"
"47230074","5"
"47229888","8"
"47229867","165"
"47229853","6"
"47229811","37"
"47229603","42"
"47229587","38"
"47229568","15"
"47229560","22"
"47229525","5"
"47229520","46"
"47229500","4"
"47229386","45"
"47229384","25"
"47229365","48"
"47229364","47"
"47229315","3"
"47229228","12"
"47229078","10"
"47229074","16"
"47228983","9"
"47228955","38"
"47228904","178"
"47228898","40"
"47228895","9"
"47228796","21"
"47228775","32"
"47228764","34"
"47228696","1"
"47228668","16"
"47228652","6"
"47228624","10"
"47228578","8"
"47228519","51"
"47228505","16"
"47228467","104"
"47228450","8"
"47228418","279"
"47228398","13"
"47228396","28"
"47228376","14"
"47228354","5"
"47228308","105"
"47228216","1211"
"47228212","96"
"47228211","26"
"47228183","23"
"47228064","69"
"47227983","8"
"47227958","11"
"47227906","5"
"47227881","9"
"47227872","24"
"47227802","99"
"47227790","42"
"47227744","8"
"47227740","102"
"47227734","45"
"47227726","28"
"47227697","60"
"47227695","21"
"47227602","70"
"47227571","399"
"47227550","19"
"47227548","16"
"47227524","121"
"47227413","134"
"47227369","1163"
"47227359","6"
"47227329","16"
"47227296","31"
"47227226","4"
"47227173","50"
"47227130","309"
"47227049","1550"
"47227034","370"
"47227027","13"
"47227020","1086"
"47226865","1383"
"47226860","4"
"47226849","4"
"47226824","0"
"47226801","335"
"47226756","8"
"47226748","19"
"47226741","6"
"47226724","54"
"47226715","7"
"47226640","320"
"47226550","45"
"47226477","228"
"47226466","4"
"47226385","6"
"47226361","7"
"47226306","30"
"47226304","17"
"47226295","9"
"47226252","7"
"47226094","16"
"47226037","7"
"47225990","109"
"47225962","12"
"47225878","23"
"47225802","4"
"47225678","74"
"47225663","74"
"47225631","9"
"47225615","35"
"47225564","499"
"47225553","42"
"47225547","6"
"47225542","3"
"47225541","17"
"47225380","58"
"47225374","7"
"47225337","25"
"47225328","31"
"47225320","158"
"47225310","43"
"47225271","38"
"47225252","56"
"47225222","16"
"47225169","232"
"47225137","11"
"47225100","41"
"47225055","85"
"47224981","25"
"47224954","29"
"47224936","8"
"47224911","108"
"47224850","148"
"47224846","36"
"47224835","35"
"47224829","12"
"47224790","9"
"47224748","1156"
"47224697","41"
"47224663","578"
"47224507","87"
"47224470","12"
"47224464","17"
"47224373","13"
"47224348","21"
"47224326","117"
"47224306","927"
"47224304","44"
"47224296","10"
"47224246","15"
"47224157","6"
"47224104","6"
"47224080","39"
"47224036","47"
"47224023","13"
"47224009","13"
"47224002","12"
"47223978","99"
"47223977","2170"
"47223974","22"
"47223930","87"
"47223899","5"
"47223855","6"
"47223821","4"
"47223765","25"
"47223759","5"
"47223722","37"
"47223652","13"
"47223610","14"
"47223599","3"
"47223589","23"
"47223523","16"
"47223504","24"
"47223496","56"
"47223495","12"
"47223477","16"
"47223445","116"
"47223417","15"
"47223394","22"
"47223392","10"
"47223285","5"
"47223245","1420"
"47223223","6"
"47223167","23"
"47223149","39"
"47223145","5"
"47223133","31"
"47223128","377"
"47223127","7"
"47223035","14"
"47223003","1094"
"47222970","23"
"47222920","80"
"47222907","4"
"47222867","19"
"47222860","19"
"47222859","18"
"47222843","31"
"47222800","6"
"47222788","35"
"47222761","14"
"47222701","17"
"47222688","53"
"47222653","46"
"47222640","9"
"47222603","1059"
"47222594","4"
"47222586","43"
"47222569","3"
"47222546","16"
"47222539","59"
"47222525","501"
"47222424","44"
"47222394","34"
"47222362","57"
"47222336","585"
"47222227","12"
"47222218","48"
"47222213","195"
"47222202","18"
"47222153","6"
"47222150","92"
"47222111","41"
"47222045","58"
"47222012","4"
"47221991","15"
"47221981","86"
"47221978","30"
"47221967","12"
"47221951","3"
"47221949","119"
"47221940","12"
"47221932","34"
"47221882","2145"
"47221864","10"
"47221853","25"
"47221795","31"
"47221774","38"
"47221758","11"
"47221749","520"
"47221747","29"
"47221679","21"
"47221671","13"
"47221653","9"
"47221637","5"
"47221619","65"
"47221554","144"
"47221552","32"
"47221472","7"
"47221460","3"
"47221455","288"
"47221399","10"
"47221369","26"
"47221323","616"
"47221296","14"
"47221295","104"
"47221269","124"
"47221173","47"
"47221139","15"
"47221119","79"
"47221102","114"
"47221074","9"
"47221064","133"
"47221053","331"
"47221001","175"
"47220874","49"
"47220802","32"
"47220766","7"
"47220751","8"
"47220644","10"
"47220553","7"
"47220531","5"
"47220508","20"
"47220487","1316"
"47220483","24"
"47220455","555"
"47220449","39"
"47220407","435"
"47220405","123"
"47220374","10"
"47220373","39"
"47220369","42"
"47220303","5"
"47220280","45"
"47220264","7"
"47220188","6"
"47220135","58"
"47220113","28"
"47220069","15"
"47220023","706"
"47220011","23"
"47219928","44"
"47219858","4"
"47219818","80"
"47219766","10"
"47219756","12"
"47219744","91"
"47219741","18"
"47219642","386"
"47219633","167"
"47219626","76"
"47219576","136"
"47219567","437"
"47219562","7"
"47219556","8"
"47219535","54"
"47219506","9"
"47219494","34"
"47219489","115"
"47219481","12"
"47219230","75"
"47219221","5"
"47219178","43"
"47219166","348"
"47219156","199"
"47219109","60"
"47219099","258"
"47219028","61"
"47219027","659"
"47219025","19"
"47218984","25"
"47218927","11"
"47218912","6"
"47218864","74"
"47218841","11"
"47218810","46"
"47218774","2"
"47218703","47"
"47218684","22"
"47218681","2"
"47218617","15"
"47218613","21"
"47218606","2"
"47218535","87"
"47218497","60"
"47218422","39"
"47218405","52"
"47218303","43"
"47218300","29"
"47218196","2249"
"47218170","60"
"47218164","4"
"47218121","53"
"47218086","61"
"47218058","325"
"47218029","5"
"47218012","6"
"47217972","1539"
"47217918","108"
"47217874","282"
"47217863","170"
"47217842","32"
"47217789","75"
"47217478","108"
"47217469","667"
"47217454","9"
"47217450","47"
"47217410","2"
"47217330","141"
"47217216","8"
"47217208","14"
"47217171","85"
"47217091","7"
"47217063","54"
"47217053","101"
"47217042","1571"
"47217014","7"
"47216992","54"
"47216927","5"
"47216915","142"
"47216851","588"
"47216744","73"
"47216738","21"
"47216704","5"
"47216669","14"
"47216666","6"
"47216633","1419"
"47216582","298"
"47216543","17"
"47216537","19"
"47216503","12"
"47216488","162"
"47216465","28"
"47216452","118"
"47216441","20"
"47216420","11"
"47216412","6"
"47216373","6"
"47216353","30"
"47216299","68"
"47216277","427"
"47216244","34"
"47216236","49"
"47216197","8"
"47216193","501"
"47216086","55"
"47216064","7"
"47216058","12"
"47216056","196"
"47216001","9"
"47215993","137"
"47215965","621"
"47215962","14"
"47215933","3"
"47215906","25"
"47215865","228"
"47215858","451"
"47215806","68"
"47215703","6"
"47215653","698"
"47215549","30"
"47215451","558"
"47215438","9"
"47215431","486"
"47215387","38"
"47215327","13"
"47215324","17"
"47215315","355"
"47215310","237"
"47215290","12"
"47215273","16"
"47215253","4"
"47215218","23"
"47215198","15"
"47215076","39"
"47215075","29"
"47215068","286"
"47215011","303"
"47214954","135"
"47214952","150"
"47214946","8"
"47214926","79"
"47214902","15"
"47214895","39"
"47214886","368"
"47214846","156"
"47214800","10"
"47214759","37"
"47214705","8"
"47214608","22"
"47214606","210"
"47214562","321"
"47214560","14"
"47214442","21"
"47214419","351"
"47214404","23"
"47214373","60"
"47214332","150"
"47214322","141"
"47214302","1168"
"47214253","103"
"47214195","227"
"47214144","4"
"47214098","13"
"47214090","31"
"47214051","106"
"47213984","6"
"47213961","26"
"47213958","104"
"47213920","19"
"47213908","468"
"47213836","9"
"47213768","5"
"47213741","24"
"47213639","22"
"47213604","2485"
"47213524","10"
"47213509","8"
"47213487","12"
"47213462","11"
"47213415","121"
"47213410","247"
"47213401","973"
"47213366","49"
"47213361","28"
"47213290","16"
"47213256","56"
"47213232","246"
"47213159","6"
"47213126","932"
"47213075","864"
"47213071","4"
"47213068","4"
"47213067","41"
"47213050","158"
"47213044","13"
"47213023","339"
"47213021","7"
"47212967","10"
"47212862","36"
"47212849","2072"
"47212809","17"
"47212808","12"
"47212773","32"
"47212768","6"
"47212763","38"
"47212754","979"
"47212727","176"
"47212628","19"
"47212583","69"
"47212574","4"
"47212560","1023"
"47212548","1197"
"47212514","63"
"47212445","27"
"47212393","62"
"47212390","1053"
"47212341","7"
"47212331","7"
"47212258","102"
"47212239","1386"
"47212201","8"
"47212142","11"
"47212093","6"
"47212092","16"
"47212079","15"
"47212016","24"
"47211930","81"
"47211908","674"
"47211857","76"
"47211763","1274"
"47211759","34"
"47211727","547"
"47211632","16"
"47211591","39"
"47211566","24"
"47211539","1492"
"47211528","170"
"47211506","8"
"47211503","1177"
"47211473","73"
"47211406","227"
"47211320","18"
"47211275","3"
"47211273","649"
"47211263","5"
"47211251","3"
"47211198","7"
"47211193","1871"
"47211168","7"
"47211143","25"
"47211137","6"
"47211009","8"
"47210953","8"
"47210921","21"
"47210819","165"
"47210815","264"
"47210809","70"
"47210796","3"
"47210772","43"
"47210749","16"
"47210669","11"
"47210622","14"
"47210596","16"
"47210570","7"
"47210522","85"
"47210520","40"
"47210508","29"
"47210459","25"
"47210407","1516"
"47210392","18"
"47210344","11"
"47210320","97"
"47210317","5"
"47210293","75"
"47210287","16"
"47210270","5"
