Id,MinResponseTime
"47192984","119"
"47192869","463"
"47192662","22"
"47192423","19"
"47192405","381"
"47192251","2463"
"47192130","19"
"47192075","36"
"47192011","23"
"47191954","25"
"47191871","27"
"47191810","12"
"47191747","56"
"47191637","1121"
"47191531","2806"
"47191466","12"
"47191347","120"
"47191284","24"
"47191094","37"
"47191091","46"
"47191084","114"
"47190994","19"
"47190887","23"
"47190883","16"
"47190790","44"
"47190767","424"
"47190698","200"
"47190645","12"
"47190588","3"
"47190568","107"
"47190539","37"
"47190427","878"
"47190343","24"
"47189881","60"
"47189842","24"
"47189701","17"
"47189554","21"
"47189281","8"
"47189218","539"
"47189043","26"
"47188991","327"
"47188883","12"
"47188306","2321"
"47188231","71"
"47187983","153"
"47187884","63"
"47187771","2"
"47187600","776"
"47187371","122"
"47187265","44"
"47187225","7"
"47187188","42"
"47187170","2021"
"47186951","57"
"47186936","4"
"47186898","95"
"47186834","25"
"47186777","7"
"47186641","8"
"47186497","58"
"47186425","152"
"47186406","24"
"47186388","3"
"47186069","99"
"47185924","337"
"47185395","6"
"47185165","5"
"47185127","21"
"47184858","89"
"47184595","23"
"47184533","15"
"47184518","1147"
"47184442","43"
"47184408","38"
"47184167","3181"
"47183985","2802"
"47183977","2"
"47183955","124"
"47183903","25"
"47183731","2290"
"47183630","34"
"47183534","29"
"47183473","4"
"47183439","6"
"47183323","928"
"47183216","893"
"47183035","30"
"47182977","161"
"47182590","69"
"47182579","30"
"47182443","3119"
"47182429","54"
"47182313","2"
"47182119","1198"
"47182068","1534"
"47181999","25"
"47181711","25"
"47181663","12"
"47181654","3069"
"47181445","75"
"47181246","112"
"47181153","6"
"47181022","49"
"47180450","8"
"47180411","3"
"47180272","44"
"47180194","2"
"47180184","7"
"47179946","35"
"47179764","347"
"47179580","26"
"47179365","15"
"47179358","860"
"47179111","1761"
"47179047","26"
"47178483","6"
"47178412","85"
"47178228","17"
"47178202","65"
"47178088","171"
"47177943","6"
"47177856","1345"
"47177606","76"
"47177406","30"
"47177263","6"
"47177235","11"
"47177223","28"
"47177212","1423"
"47177129","47"
"47177109","6"
"47177084","13"
"47176722","18"
"47176594","75"
"47176567","135"
"47176392","14"
"47176028","9"
"47175958","253"
"47175912","40"
"47175889","3"
"47175766","307"
"47175746","21"
"47175465","214"
"47175453","126"
"47175409","392"
"47175118","23"
"47174920","5"
"47174768","72"
"47174018","76"
"47173955","51"
"47173861","16"
"47173349","1015"
"47173167","3336"
"47173047","152"
"47172963","4"
"47172834","112"
"47172793","1412"
"47172507","11"
"47172504","7"
"47172392","629"
"47172134","87"
"47171723","17"
"47171446","36"
"47171368","1206"
"47171296","52"
"47171205","211"
"47171200","6"
"47171170","18"
"47171107","1330"
"47170967","88"
"47170950","1645"
"47170764","88"
"47170740","6"
"47170575","286"
"47170555","36"
"47170352","42"
"47170209","5"
"47170154","2"
"47170152","94"
"47170117","430"
"47169990","16"
"47169815","194"
"47169703","131"
"47169611","31"
"47169188","5"
"47169159","3769"
"47169099","35"
"47168882","1220"
"47168840","53"
"47168787","7"
"47168753","105"
"47168698","52"
