Id,MinResponseTime
"47225104","13"
"47224993","61"
"47224956","90"
"47224925","5"
"47224922","3"
"47224875","107"
"47224856","124"
"47224827","15"
"47224752","38"
"47224571","337"
"47224530","7"
"47224517","462"
"47224423","35"
"47224407","25"
"47224393","1469"
"47224319","1779"
"47224185","116"
"47224164","39"
"47224117","85"
"47224056","63"
"47224028","70"
"47223888","304"
"47223872","794"
"47223853","5"
"47223838","50"
"47223753","3"
"47223751","202"
"47223697","5"
"47223696","115"
"47223626","53"
"47223606","1591"
"47223597","8"
"47223578","112"
"47223550","18"
"47223546","5"
"47223444","33"
"47223408","13"
"47223387","33"
"47223340","10"
"47223335","26"
"47223332","1785"
"47223297","12"
"47223275","1245"
"47223263","69"
"47223182","9"
"47223169","38"
"47222957","1218"
"47222864","619"
"47222858","4"
"47222813","5"
"47222807","327"
"47222763","287"
"47222757","5"
"47222642","192"
"47222510","8"
"47222433","499"
"47222412","33"
"47222399","7"
"47222393","83"
"47222318","8"
"47222307","1"
"47222267","13"
"47222226","6"
"47222212","4"
"47222175","7"
"47222043","19"
"47221926","57"
"47221796","76"
"47221777","242"
"47221728","22"
"47221708","72"
"47221693","23"
"47221676","61"
"47221582","288"
"47221574","43"
"47221554","144"
"47221538","45"
"47221535","655"
"47221484","4"
"47221331","372"
"47221322","17"
"47221309","139"
"47221301","267"
"47221250","144"
"47221195","25"
"47221137","7"
"47221134","44"
"47221130","9"
"47221011","12"
"47221006","29"
"47220981","5"
"47220916","198"
"47220881","256"
"47220778","286"
"47220762","9"
"47220721","3"
"47220687","35"
"47220649","42"
"47220624","7"
"47220578","38"
"47220524","39"
"47220522","9"
"47220392","7"
"47220351","54"
"47220341","8"
"47220323","1802"
"47220310","25"
"47220243","13"
"47220171","312"
"47220140","3"
"47220122","301"
"47220015","46"
"47219972","97"
"47219959","15"
"47219950","168"
"47219895","29"
"47219689","42"
"47219551","6"
"47219513","70"
"47219474","11"
"47219326","159"
"47219202","43"
"47219151","75"
"47219141","43"
"47219128","662"
"47218854","860"
"47218829","33"
"47218793","8"
"47218785","60"
"47218765","12"
"47218654","93"
"47218552","426"
"47218505","30"
"47218364","32"
"47218292","22"
"47218279","10"
"47218238","40"
"47218228","48"
"47218060","9"
"47218054","15"
"47217958","101"
"47217913","10"
"47217900","57"
"47217892","79"
"47217712","101"
"47217670","8"
"47217609","74"
"47217549","9"
"47217522","60"
"47217495","12"
"47217435","13"
"47217382","155"
"47217332","19"
"47217256","123"
"47217255","32"
"47217225","396"
"47217098","307"
"47217076","63"
"47216918","30"
"47216911","15"
"47216882","663"
"47216854","80"
"47216836","38"
"47216822","19"
"47216736","64"
"47216673","81"
"47216626","47"
"47216565","59"
"47216435","18"
"47216249","32"
"47216232","210"
"47216047","4"
"47215983","16"
"47215945","33"
"47215940","1682"
"47215935","7"
"47215926","1190"
"47215924","190"
"47215898","26"
"47215680","70"
"47215661","15"
"47215624","1849"
"47215612","39"
"47215597","55"
"47215562","27"
"47215514","42"
"47215462","113"
"47215419","758"
"47215336","24"
"47215320","74"
"47215284","14"
"47215279","29"
"47215247","7"
"47215019","304"
"47214983","32"
"47214976","89"
"47214903","15"
"47214866","65"
"47214744","4"
"47214647","37"
"47214580","15"
"47214559","29"
"47214548","126"
"47214488","452"
"47214378","117"
"47214288","17"
"47214265","1198"
"47214262","8"
"47214146","1159"
"47214041","11"
"47213869","26"
"47213781","11"
"47213778","147"
"47213742","895"
"47213738","40"
"47213681","575"
"47213678","8"
"47213658","244"
"47213621","281"
"47213596","3"
"47213529","45"
"47213457","10"
"47213390","43"
"47213122","131"
"47213029","6"
"47213014","2893"
"47212991","57"
"47212969","28"
"47212955","65"
"47212902","730"
"47212858","283"
"47212780","20"
"47212759","69"
"47212731","1470"
"47212666","26"
"47212630","2238"
"47212614","369"
"47212579","34"
"47212553","33"
"47212532","415"
"47212530","97"
"47212463","49"
"47212352","9"
"47212330","16"
"47212136","522"
"47212114","838"
"47212104","110"
"47212013","10"
"47211988","14"
"47211893","682"
"47211822","45"
"47211777","9"
"47211701","7"
"47211569","13"
"47211525","608"
"47211515","32"
"47211484","11"
"47211406","227"
"47211402","55"
"47211354","20"
"47211333","523"
"47211300","84"
"47211206","7"
"47211126","13"
"47211115","30"
"47211103","54"
"47211088","22"
"47210894","31"
"47210891","759"
"47210818","14"
"47210791","28"
"47210718","11"
"47210645","21"
"47210453","6"
"47210189","33"
"47210177","43"
"47209990","28"
"47209894","1266"
"47209797","85"
"47209765","23"
"47209753","692"
"47209742","26"
"47209719","44"
"47209687","110"
"47209647","54"
"47209624","21"
"47209600","1987"
"47209533","1075"
"47209474","55"
"47209446","2468"
"47209409","7"
"47209315","28"
"47209288","33"
"47209246","1045"
"47209180","6"
"47209085","15"
"47209059","32"
"47209048","1031"
"47209047","16"
"47208985","14"
"47208932","46"
"47208910","364"
"47208860","45"
"47208812","296"
"47208692","69"
"47208680","34"
"47208601","31"
"47208570","7"
"47208210","35"
"47208172","52"
"47208159","181"
"47208119","10"
"47208075","20"
"47207893","122"
"47207875","290"
"47207624","11"
"47207598","5"
"47207557","219"
"47207554","43"
"47207533","58"
"47207347","9"
"47207322","1084"
"47207296","46"
"47207273","464"
"47207121","1612"
"47207096","6"
"47207026","7"
"47206969","45"
"47206958","21"
"47206882","10"
"47206821","13"
"47206779","277"
"47206698","33"
"47206693","530"
"47206656","9"
"47206456","30"
"47206452","18"
"47206423","33"
"47206403","18"
"47206384","21"
"47206178","188"
"47206166","1463"
"47206162","142"
"47206055","181"
"47206023","8"
"47206001","218"
"47205954","253"
"47205880","68"
"47205859","14"
"47205734","6"
"47205600","5"
"47205546","50"
"47205438","10"
"47205385","54"
"47205367","213"
"47205352","33"
"47205306","18"
"47205255","18"
"47205236","36"
"47205219","604"
"47205168","5"
"47205006","686"
"47204971","19"
"47204904","43"
"47204818","13"
"47204734","50"
"47204693","1049"
"47204681","16"
"47204629","8"
"47204538","9"
"47204496","1479"
"47204450","51"
"47204420","1296"
"47204414","15"
"47204274","180"
"47204182","92"
"47204166","20"
"47204115","36"
"47204034","16"
"47203986","51"
"47203835","13"
"47203783","22"
"47203731","101"
"47203672","4"
"47203619","6"
"47203512","32"
"47203505","162"
"47203496","19"
"47203370","4"
"47203326","2467"
"47203205","684"
"47203179","33"
"47203171","68"
"47203169","7"
"47203145","66"
"47203031","15"
"47202862","26"
"47202861","30"
"47202792","40"
"47202669","20"
"47202639","13"
"47202613","1077"
"47202611","23"
"47202540","852"
"47202521","191"
"47202410","100"
"47202380","1510"
"47202330","27"
"47202285","439"
"47202183","35"
"47202160","36"
"47202115","43"
"47202049","24"
"47201807","5"
"47201793","6"
"47201787","140"
"47201757","229"
"47201738","33"
"47201732","25"
"47201551","7"
"47201493","0"
"47201448","1868"
"47201419","1429"
"47201383","1301"
"47201382","122"
"47201378","25"
"47201357","1958"
"47201303","22"
"47201189","279"
"47201185","17"
"47201152","17"
"47201124","30"
"47201121","45"
"47201091","20"
"47201086","27"
"47201066","6"
"47201045","26"
"47201009","12"
"47200980","296"
"47200881","14"
"47200861","7"
"47200636","1273"
"47200517","66"
"47200475","376"
"47200472","19"
"47200409","2656"
"47200291","6"
"47200215","49"
"47200188","46"
"47200129","64"
"47200023","725"
"47199985","1929"
"47199921","1369"
"47199870","32"
"47199836","410"
"47199810","10"
"47199780","1382"
"47199756","12"
"47199727","145"
"47199613","39"
"47199561","58"
"47199477","10"
"47199437","26"
"47199414","86"
"47199086","285"
"47199002","829"
"47198985","77"
"47198884","135"
"47198865","1091"
"47198838","1456"
"47198806","1808"
"47198797","36"
"47198796","183"
"47198773","13"
"47198764","9"
"47198752","53"
"47198700","1357"
"47198692","28"
"47198573","68"
"47198527","22"
"47198518","24"
"47198435","19"
"47198422","1275"
"47198308","41"
"47198274","20"
"47198175","20"
"47198114","179"
"47198063","7"
"47198023","203"
"47198016","95"
"47197936","56"
"47197928","57"
"47197921","69"
"47197920","50"
"47197887","10"
"47197848","186"
"47197777","29"
"47197753","21"
"47197744","133"
"47197738","16"
"47197643","2"
"47197575","8"
"47197556","623"
"47197498","3"
"47197483","46"
"47197479","60"
"47197371","621"
"47197147","201"
"47197074","42"
"47197053","25"
"47196968","35"
"47196942","907"
"47196922","194"
"47196879","44"
"47196820","15"
"47196818","21"
"47196804","8"
"47196790","70"
"47196670","166"
"47196660","73"
"47196582","147"
"47196579","144"
"47196570","69"
"47196561","1307"
"47196436","21"
"47196424","44"
"47196416","1623"
"47196361","6"
"47196334","259"
"47196322","3"
"47196269","504"
"47196247","440"
"47196129","912"
"47196125","9"
"47196112","1853"
"47196095","7"
"47196058","750"
"47196054","3047"
"47195998","16"
"47195901","99"
"47195847","886"
"47195829","207"
"47195821","106"
"47195791","1639"
"47195780","21"
"47195745","12"
"47195654","52"
"47195624","47"
"47195605","3"
"47195557","9"
"47195531","469"
"47195465","1256"
"47195312","2"
"47195239","139"
"47195158","18"
"47195138","175"
"47195085","206"
"47195081","24"
"47194897","5"
"47194876","9"
"47194861","61"
"47194732","6"
"47194717","1334"
"47194660","19"
"47194553","39"
"47194319","8"
"47194153","121"
"47194129","23"
"47193966","24"
"47193891","3"
"47193756","109"
"47193717","285"
"47193703","191"
"47193662","19"
"47193653","515"
"47193523","50"
"47193510","394"
"47193479","2026"
