Id,MinResponseTime
"47229413","45"
"47229286","15"
"47229276","108"
"47229267","582"
"47229235","37"
"47229086","4"
"47229065","657"
"47229041","24"
"47228986","44"
"47228980","1198"
"47228807","17"
"47228745","49"
"47228729","29"
"47228721","29"
"47228717","26"
"47228645","38"
"47228622","6"
"47228608","1429"
"47228580","14"
"47228529","60"
"47228514","8"
"47228508","189"
"47228488","83"
"47228458","750"
"47228449","83"
"47228371","20"
"47228362","136"
"47228361","57"
"47228345","144"
"47228339","50"
"47228299","3"
"47228290","49"
"47228283","5"
"47228270","13"
"47228111","329"
"47228052","29"
"47228045","7"
"47227947","174"
"47227895","1700"
"47227877","6"
"47227834","28"
"47227778","52"
"47227705","22"
"47227654","14"
"47227583","21"
"47227562","174"
"47227554","7"
"47227445","15"
"47227429","4"
"47227425","16"
"47227408","264"
"47227308","5"
"47227301","11"
"47227287","13"
"47227280","97"
"47227271","50"
"47227236","8"
"47227166","1124"
"47227156","286"
"47227087","3"
"47227010","5"
"47227008","220"
"47227002","158"
"47226952","9"
"47226895","32"
"47226877","6"
"47226867","85"
"47226833","64"
"47226807","1257"
"47226783","1114"
"47226758","8"
"47226713","1553"
"47226644","11"
"47226636","37"
"47226600","76"
"47226573","5"
"47226530","14"
"47226438","65"
"47226407","106"
"47226399","3"
"47226373","778"
"47226362","58"
"47226351","7"
"47226345","79"
"47226343","12"
"47226192","720"
"47226172","13"
"47226170","70"
"47226098","9"
"47226075","6"
"47226050","1475"
"47225954","17"
"47225945","4"
"47225906","8"
"47225903","11"
"47225900","61"
"47225863","14"
"47225830","7"
"47225783","16"
"47225774","5"
"47225724","30"
"47225719","7"
"47225621","9"
"47225583","37"
"47225523","23"
"47225496","281"
"47225365","4"
"47225315","26"
"47225263","28"
"47225215","26"
"47225212","4"
"47225210","1542"
"47225178","109"
"47225138","6"
"47225123","61"
"47225026","10"
"47225013","9"
"47224974","7"
"47224965","19"
"47224960","39"
"47224958","24"
"47224930","31"
"47224818","30"
"47224765","350"
"47224719","8"
"47224567","59"
"47224557","34"
"47224537","100"
"47224493","7"
"47224474","1120"
"47224468","4"
"47224417","9"
"47224365","318"
"47224358","13"
"47224328","486"
"47224293","1147"
"47224237","22"
"47224216","50"
"47224207","6"
"47224187","1267"
"47224140","9"
"47224061","195"
"47224017","21"
"47223944","1753"
"47223905","62"
"47223831","22"
"47223782","12"
"47223771","8"
"47223764","27"
"47223750","176"
"47223718","77"
"47223704","65"
"47223694","1187"
"47223596","8"
"47223503","76"
"47223373","4"
"47223288","10"
"47223184","31"
"47223178","16"
"47223157","44"
"47223151","21"
"47223071","47"
"47223069","16"
"47223066","6"
"47223002","29"
"47222866","4"
"47222820","13"
"47222585","708"
"47222524","12"
