Id,MinResponseTime
"47150237","50"
"47150169","33"
"47149921","37"
"47149719","15"
"47149598","3"
"47149423","1263"
"47149310","35"
"47148918","295"
"47148687","25"
"47148682","14"
"47148667","161"
"47148660","12"
"47148492","7163"
"47148439","11"
"47148130","11"
"47147802","42"
"47147617","46"
"47147476","52"
"47147381","3999"
"47147188","21"
"47146673","9"
"47146485","3"
"47146186","7"
"47145860","1510"
"47145527","145"
"47145497","362"
"47145491","1041"
"47145043","6"
"47145033","5"
"47144440","96"
"47144435","783"
"47144410","3026"
"47144272","3577"
"47144068","10"
"47144021","576"
"47143918","6"
"47143733","61"
"47143666","12"
"47143633","5"
"47142992","30"
"47142914","24"
"47142595","68"
"47142351","91"
"47142027","3"
"47141936","28"
"47141803","7"
"47141563","65"
"47141325","2363"
"47141250","50"
"47141128","18"
"47140992","4"
"47140145","9"
"47139893","2488"
"47139737","2"
"47139480","77"
"47139417","13"
"47139175","32"
"47139080","60"
"47137818","1208"
"47137488","22"
"47137413","77"
"47137002","6"
"47136357","15"
"47135990","56"
"47135175","96"
"47134898","319"
"47134732","15"
"47134225","69"
"47134027","5"
"47133493","4"
"47133487","36"
"47133348","12"
"47132856","12"
"47132835","47"
"47132584","114"
"47132256","2982"
"47131688","6"
"47131166","13"
"47130541","227"
"47130512","23"
"47130489","35"
"47130487","55"
"47130427","13"
"47130023","10"
"47130016","500"
"47129910","2"
"47129813","256"
"47129300","15"
"47129190","4"
"47128977","81"
"47128825","140"
"47128506","25"
"47128350","71"
"47128162","374"
"47128127","229"
"47128112","8"
"47128073","11"
"47128059","17"
"47127853","13"
"47127835","66"
"47127818","222"
"47127371","365"
"47127130","15"
"47126878","1281"
"47126577","71"
"47126342","1273"
"47126340","2"
"47125986","2766"
"47125778","36"
"47125659","31"
"47125406","1204"
"47125335","95"
"47124939","7"
"47124890","9"
"47124820","58"
"47124780","12"
"47124709","85"
"47124707","248"
"47124527","7"
"47124431","34"
"47124353","116"
"47124317","31"
"47124141","1269"
"47124073","15"
"47123225","6"
"47123166","38"
"47123065","6"
"47122959","48"
"47122867","74"
"47122815","19"
"47122773","19"
"47122474","2066"
"47122298","13"
"47121843","10"
"47121814","6"
"47121619","19"
"47121331","153"
"47121176","39"
"47121042","24"
"47120993","2715"
"47120976","17"
"47120814","23"
"47120549","7"
"47120407","130"
"47120370","7"
"47120273","704"
"47120259","7"
"47120154","1780"
"47120046","5"
"47119992","3"
"47119328","382"
"47119083","76"
"47119055","74"
"47118958","16"
"47118826","163"
"47118825","18"
"47118383","543"
"47118223","41"
"47118176","4"
"47118042","70"
"47117806","19"
"47117781","621"
"47117710","680"
"47117509","10"
"47117503","15"
"47117444","3202"
"47117260","404"
"47117201","9"
"47117146","73"
"47117094","59"
"47116974","92"
"47116590","13"
"47116547","10"
"47116485","1327"
"47116388","14"
"47116363","21"
"47116169","41"
"47116149","4"
"47116089","59"
"47115822","18"
"47115802","382"
"47115119","8"
"47115104","17"
"47115088","35"
"47115006","7"
"47114939","18"
"47114358","871"
"47114329","73"
"47114303","1506"
"47114282","1129"
"47114219","19"
"47114183","5949"
"47114120","13"
"47114066","153"
"47113639","14"
"47113512","33"
"47113490","60"
"47113442","5"
"47113280","23"
"47113181","2453"
"47112916","7"
"47112536","9"
"47112512","145"
"47112346","34"
"47112064","59"
"47111734","37"
"47111716","7"
"47111663","50"
"47111518","2237"
"47111338","621"
"47111135","329"
"47110962","17"
"47110886","34"
"47110709","11"
"47110460","261"
"47110430","129"
"47110318","9"
"47110018","2963"
"47109676","35"
"47109320","4"
"47109292","83"
"47109117","79"
"47109062","5"
"47109030","281"
"47108430","16"
"47108429","15"
"47108197","18"
"47107854","26"
"47107738","80"
"47107732","349"
"47107527","6"
"47107449","389"
"47107376","8"
"47107311","40"
"47107236","39"
"47107222","246"
"47107123","2683"
"47106383","89"
"47106034","27"
"47105957","2487"
"47105835","25"
"47105794","1005"
"47105790","707"
"47105601","1437"
"47105527","32"
"47105446","205"
"47105369","12"
"47105300","1546"
"47105189","35"
"47104990","3"
"47104840","4"
"47104399","32"
"47104060","16"
"47103999","2"
"47103582","174"
"47103419","68"
"47103108","2"
"47102930","15"
"47102671","35"
"47102437","10"
"47102359","71"
"47102253","53"
"47102098","78"
"47101796","62"
"47101786","16"
"47101777","5649"
"47101505","327"
"47101484","171"
"47101005","9"
"47100264","27"
"47100259","4377"
"47100150","17"
"47099787","51"
"47099691","977"
"47099429","24"
"47098548","93"
"47098287","1956"
"47098097","115"
"47097996","10"
"47097909","636"
"47097627","13"
"47097354","26"
"47097181","3"
"47097148","29"
"47097107","33"
"47097096","18"
